iter	Passed	Remaining
0	79	79412
1	166	82866
2	252	83754
3	333	83102
4	410	81770
5	483	80161
6	553	78572
7	621	77017
8	692	76271
9	763	75591
10	830	74625
11	901	74192
12	969	73628
13	1046	73705
14	1127	74036
15	1253	77078
16	1399	80918
17	1499	81790
18	1582	81707
19	1674	82045
20	1760	82083
21	1845	82052
22	1923	81722
23	2008	81671
24	2095	81735
25	2166	81154
26	2236	80607
27	2306	80081
28	2374	79509
29	2454	79363
30	2548	79668
31	2643	79960
32	2739	80282
33	2824	80254
34	2903	80052
35	2978	79762
36	3052	79447
37	3134	79350
38	3217	79274
39	3300	79214
40	3385	79188
41	3470	79171
42	3558	79205
43	3642	79148
44	3730	79160
45	3814	79119
46	3901	79119
47	3988	79101
48	4073	79068
49	4161	79075
50	4245	79002
51	4327	78902
52	4414	78870
53	4503	78890
54	4586	78812
55	4668	78701
56	4750	78584
57	4834	78513
58	4918	78440
59	5001	78357
60	5073	78092
61	5148	77894
62	5221	77665
63	5290	77368
64	5360	77110
65	5430	76844
66	5499	76585
67	5571	76362
68	5643	76149
69	5727	76096
70	5811	76035
71	5895	75989
72	5984	75995
73	6068	75941
74	6149	75845
75	6235	75813
76	6315	75704
77	6387	75501
78	6456	75270
79	6525	75037
80	6603	74922
81	6686	74858
82	6766	74754
83	6838	74576
84	6912	74412
85	6992	74320
86	7077	74275
87	7162	74230
88	7246	74179
89	7329	74105
90	7411	74032
91	7488	73905
92	7575	73877
93	7666	73890
94	7754	73871
95	7839	73825
96	7923	73759
97	8006	73690
98	8085	73589
99	8159	73438
100	8248	73417
101	8335	73382
102	8416	73300
103	8506	73289
104	8598	73288
105	8689	73286
106	8775	73238
107	8859	73173
108	8945	73122
109	9027	73042
110	9114	73001
111	9202	72960
112	9289	72917
113	9405	73095
114	9523	73292
115	9604	73195
116	9680	73057
117	9751	72890
118	9822	72721
119	9892	72543
120	9965	72396
121	10043	72276
122	10141	72312
123	10243	72362
124	10332	72327
125	10409	72204
126	10485	72076
127	10553	71897
128	10623	71729
129	10695	71578
130	10766	71417
131	10844	71313
132	10933	71275
133	11013	71179
134	11146	71421
135	11242	71420
136	11329	71364
137	11406	71246
138	11475	71081
139	11553	70971
140	11650	70976
141	11743	70958
142	11834	70922
143	11956	71075
144	12058	71102
145	12128	70943
146	12198	70786
147	12267	70619
148	12338	70472
149	12427	70421
150	12514	70364
151	12595	70272
152	12677	70179
153	12760	70102
154	12854	70075
155	12931	69961
156	13002	69816
157	13077	69690
158	13151	69562
159	13225	69433
160	13303	69329
161	13375	69190
162	13463	69134
163	13553	69090
164	13647	69062
165	13731	68988
166	13822	68946
167	13900	68841
168	13981	68751
169	14062	68655
170	14137	68536
171	14221	68460
172	14303	68374
173	14380	68263
174	14451	68130
175	14526	68010
176	14607	67920
177	14683	67810
178	14764	67720
179	14834	67579
180	14909	67464
181	14984	67348
182	15059	67231
183	15130	67100
184	15203	66979
185	15274	66844
186	15347	66723
187	15419	66600
188	15491	66475
189	15579	66416
190	15660	66329
191	15743	66253
192	15827	66181
193	15906	66084
194	15984	65986
195	16067	65908
196	16157	65858
197	16243	65793
198	16320	65693
199	16391	65567
200	16462	65440
201	16531	65309
202	16602	65181
203	16680	65084
204	16759	64992
205	16831	64874
206	16904	64758
207	16976	64641
208	17045	64510
209	17117	64394
210	17183	64254
211	17253	64129
212	17324	64010
213	17393	63883
214	17460	63750
215	17530	63629
216	17600	63507
217	17668	63379
218	17738	63258
219	17807	63134
220	17874	63005
221	17944	62887
222	18014	62767
223	18084	62651
224	18153	62528
225	18223	62412
226	18296	62303
227	18367	62193
228	18443	62095
229	18519	61999
230	18586	61876
231	18664	61787
232	18734	61670
233	18809	61572
234	18878	61456
235	18949	61344
236	19023	61245
237	19099	61151
238	19175	61057
239	19254	60971
240	19330	60879
241	19414	60811
242	19517	60801
243	19622	60798
244	19725	60787
245	19829	60777
246	19922	60734
247	20022	60712
248	20110	60655
249	20193	60581
250	20273	60496
251	20349	60401
252	20431	60324
253	20506	60228
254	20590	60157
255	20699	60157
256	20795	60121
257	20889	60077
258	20982	60029
259	21074	59980
260	21153	59893
261	21225	59787
262	21294	59672
263	21370	59578
